ticket_id,customerID,tipo_ticket,sentimento
TKT-00001,7590-VHVEG,Dúvida Geral,Neutro
TKT-00002,5575-GNVDE,Técnico,Neutro
TKT-00003,5575-GNVDE,Técnico,Neutro
TKT-00004,3668-QPYBK,Dúvida Geral,Negativo
TKT-00005,3668-QPYBK,Cancelamento,Negativo
TKT-00006,3668-QPYBK,Dúvida Geral,Negativo
TKT-00007,3668-QPYBK,Cobrança,Neutro
TKT-00008,3668-QPYBK,Dúvida Geral,Negativo
TKT-00009,7795-CFOCW,Técnico,Neutro
TKT-00010,7795-CFOCW,Técnico,Negativo
TKT-00011,9237-HQITU,Cancelamento,Negativo
TKT-00012,9237-HQITU,Cobrança,Negativo
TKT-00013,9237-HQITU,Técnico,Negativo
TKT-00014,9237-HQITU,Cancelamento,Negativo
TKT-00015,9305-CDSKC,Cobrança,Negativo
TKT-00016,9305-CDSKC,Técnico,Neutro
TKT-00017,9305-CDSKC,Cancelamento,Negativo
TKT-00018,9305-CDSKC,Cancelamento,Negativo
TKT-00019,1452-KIOVK,Dúvida Geral,Neutro
TKT-00020,6713-OKOMC,Dúvida Geral,Neutro
TKT-00021,7892-POOKP,Cancelamento,Negativo
TKT-00022,7892-POOKP,Cancelamento,Negativo
TKT-00023,6388-TABGU,Cobrança,Neutro
TKT-00024,6388-TABGU,Cobrança,Neutro
TKT-00025,8091-TTVAX,Cobrança,Neutro
TKT-00026,8091-TTVAX,Técnico,Positivo
TKT-00027,0280-XJGEX,Cobrança,Negativo
TKT-00028,5129-JLPIS,Técnico,Positivo
TKT-00029,5129-JLPIS,Técnico,Neutro
TKT-00030,3655-SNQYZ,Dúvida Geral,Negativo
TKT-00031,3655-SNQYZ,Dúvida Geral,Positivo
TKT-00032,9959-WOFKT,Técnico,Negativo
TKT-00033,9959-WOFKT,Técnico,Positivo
TKT-00034,4190-MFLUW,Técnico,Neutro
TKT-00035,4190-MFLUW,Cancelamento,Neutro
TKT-00036,4190-MFLUW,Dúvida Geral,Negativo
TKT-00037,4183-MYFRB,Cobrança,Neutro
TKT-00038,8779-QRDMV,Cobrança,Negativo
